"","x"
"1",12.8915841796996
"2",12.4623254640867
"3",15.1546265391527
"4",9.24696872680574
"5",13.4438516034603
"6",14.017856125004
"7",9.09372669942234
"8",13.3630317358521
"9",12.5709906678163
"10",10.4314895142506
"11",13.6691150679382
"12",13.0183293039502
"13",13.2017520099451
"14",15.3444862380048
"15",12.24501279803
"16",11.4929124065539
"17",15.5837777025911
"18",14.3135197836161
"19",10.0798185944594
"20",10.7683545463577
"21",12.8612478181885
"22",13.981543116436
"23",13.4799092098974
"24",10.574319751779
"25",12.8932277515525
"26",11.9971455781424
"27",11.169816637725
"28",12.4419451042819
"29",10.1572184789262
"30",9.3909433240303
"31",11.6179784505375
"32",13.1627352463697
"33",14.8405998629653
"34",14.0504356374615
"35",12.2899513094348
"36",13.6525678636033
"37",11.9929320846204
"38",13.1910194655147
"39",13.7996889892986
"40",10.1297537028798
"41",11.3722500402748
"42",13.4628186218526
"43",15.4346634100068
"44",12.3310674348833
"45",15.9404944914186
"46",9.83392112331844
"47",12.3490549907218
"48",14.3935151553604
"49",12.2078883659646
"50",17.9114112047144
"51",15.135986892544
"52",14.8269475596557
"53",8.56315924372796
"54",15.3518017319839
"55",13.6095555574373
"56",9.66403366178246
"57",10.99095870284
"58",15.5994039149348
"59",10.5492811039898
"60",9.88346096778927
"61",15.0700714756794
"62",10.221025548071
"63",12.0410590038761
"64",14.9272058078164
"65",10.9799229176329
"66",12.9957975537339
"67",12.0438411123176
"68",9.28692177438505
"69",12.3621413112429
"70",9.73631333520887
"71",13.0168277219614
"72",13.0024158205526
"73",9.34893583910894
"74",13.5610680522742
"75",12.2984317497568
"76",9.64043002564963
"77",12.3278615211587
"78",12.2624689944448
"79",7.60142788279537
"80",12.303909063049
"81",8.8695197596932
"82",13.8983981701702
"83",11.7819271623629
"84",10.6979220934667
"85",13.6889806656987
"86",15.9293279802632
"87",8.56874817856506
"88",10.6579153275805
"89",10.6626664400812
"90",12.7824677501734
"91",12.8585439490481
"92",12.4728601312537
"93",11.9022055145469
"94",13.0427800296314
"95",10.1032663796969
"96",12.2575172275189
"97",10.7122911033904
"98",11.9371806446497
"99",13.1904313895249
"100",14.5395688628534
"101",11.8494647195429
"102",13.3816592388544
"103",7.10555239156934
"104",12.3183814890601
"105",12.0709787330073
"106",15.2011402633618
"107",13.28980914086
"108",13.4808831951388
"109",12.510174658782
"110",14.9572181518758
"111",14.4161764115456
"112",17.2277303332038
"113",15.6540897920759
"114",13.383372059375
"115",11.6412154636253
"116",13.1113876326681
"117",13.9091995330452
"118",10.5826875110806
"119",13.1630596703985
"120",13.0402655324711
"121",11.7154067935268
"122",13.2785815760483
"123",12.6719195619634
"124",13.7372448165071
"125",8.76785042316516
"126",9.95109172245117
"127",14.1742039621181
"128",14.2883304094653
"129",12.7104238952382
"130",12.5750639182346
"131",11.2897657786723
"132",10.4264883976279
"133",12.5197511843909
"134",13.6860382719934
"135",16.4234156665171
"136",9.14978196810762
"137",8.65169804652404
"138",12.7834457140008
"139",12.9863658155645
"140",12.7828618471692
"141",11.1959472792537
"142",14.9322623671819
"143",16.7383849248862
"144",11.5857284341361
"145",14.5708208438992
"146",8.92749298587098
"147",14.6719490511745
"148",13.1099978553014
"149",9.35544311842479
"150",13.2054425399517
"151",11.7873569186691
"152",14.5058786717196
"153",12.8148979467096
"154",12.6273747511523
"155",9.49158734731971
"156",11.4675355106594
"157",12.388074605683
"158",12.5913541489206
"159",12.7069206456846
"160",12.1011139275461
"161",11.4517221753554
"162",12.4893106359838
"163",13.2316221524471
"164",10.101634131076
"165",11.3313854392268
"166",12.5242633831039
"167",14.2228436071638
"168",14.5517711302525
"169",10.5642537200788
"170",8.7783478647921
"171",11.0361466712851
"172",14.877844226509
"173",15.1223099335833
"174",14.7637544368646
"175",15.1951604402422
"176",8.32323808705678
"177",12.7695798736192
"178",13.1660004285678
"179",14.0045518895996
"180",13.6305899329751
"181",10.9761621104146
"182",12.3494964730819
"183",12.6412057854602
"184",13.1077732547377
"185",14.6685644726993
"186",13.1562966991627
"187",9.96542762332461
"188",14.4267244705989
"189",10.1400619942582
"190",10.0496417089955
"191",14.3324532591908
"192",12.5164201288815
"193",14.2040279841309
"194",12.0331982675188
"195",11.9213229929639
"196",13.5241222469721
"197",10.9426724540932
"198",11.0450097712336
"199",14.4172603831846
"200",12.9786163868197
"201",13.4995063647717
"202",10.833213067612
"203",15.1307425799602
"204",17.2415438680333
"205",16.0096722700169
"206",15.4685076921685
"207",11.2369801431603
"208",10.2471801777612
"209",12.0793878835158
"210",14.361006203711
"211",12.8857646093622
"212",15.0756234462904
"213",13.0252752516777
"214",13.5679489062957
"215",12.5508385494359
"216",10.1906926274009
"217",15.7731655941103
"218",11.3528355450651
"219",12.9485099524753
"220",13.9642209575561
"221",11.7638436260855
"222",10.8015854951937
"223",12.1738392503303
"224",13.024913379876
"225",10.2229099262453
"226",10.8790948594168
"227",12.4116493661961
"228",14.2533315350293
"229",13.5915492356922
"230",13.1566747759833
"231",12.0543446762453
"232",11.1749389671814
"233",19.3282994970088
"234",10.6118696861747
"235",9.25423135678577
"236",13.0088462689416
"237",10.0620483495605
"238",16.0289214206165
"239",11.9558139180293
"240",14.6935162295467
"241",11.2034194409845
"242",12.2680754312276
"243",13.1955824818269
